,cell_type,regulon,Z
54,Cycling-G2/M_TOP2A,Regulon(E2F8(+)),5.085772880350426
22,Cycling-G2/M_TOP2A,Regulon(BRCA1(+)),5.046089567345188
53,Cycling-G2/M_TOP2A,Regulon(E2F7(+)),4.714495728228427
48,Cycling-G2/M_TOP2A,Regulon(E2F1(+)),4.087394446143703
49,Cycling-G2/M_TOP2A,Regulon(E2F2(+)),4.005256649422401
306,Cycling-G2/M_TOP2A,Regulon(TFDP1(+)),3.3576652965527347
437,Cycling-S_MCM7,Regulon(E2F1(+)),3.136699693791904
2439,Tem_GNLY,Regulon(GSC(+)),2.9686190220970667
2820,Treg_FOXP3,Regulon(FOXP3(+)),2.641974837443715
695,Cycling-S_MCM7,Regulon(TFDP1(+)),2.6185280340224844
411,Cycling-S_MCM7,Regulon(BRCA1(+)),2.581421140681702
6299,Trm3_TGFBR2,Regulon(ETV3(+)),2.4916754312943468
919,IRG_ISG15,Regulon(IRF7(+)),2.3493412105173115
1064,IRG_ISG15,Regulon(STAT2(+)),2.3232929565848255
2457,Tem_GNLY,Regulon(HOXA10(+)),2.290163521477062
1419,Tc17_CEBPD,Regulon(RORC(+)),2.274162761396262
236,Cycling-G2/M_TOP2A,Regulon(RAD21(+)),2.2183622055238152
6478,Trm3_TGFBR2,Regulon(RREB1(+)),2.207025448226757
6444,Trm3_TGFBR2,Regulon(PHF8(+)),2.2066842516840466
438,Cycling-S_MCM7,Regulon(E2F2(+)),2.0331654280332225
6438,Trm3_TGFBR2,Regulon(NRF1(+)),1.996459874040594
6413,Trm3_TGFBR2,Regulon(MZF1(+)),1.9914907523513217
2339,Tem_GNLY,Regulon(ASCL2(+)),1.955376759662279
3689,Trm-Exh2_CXCL13,Regulon(MYOD1(+)),1.941531911247318
856,IRG_ISG15,Regulon(ETV7(+)),1.939739681352173
6556,Trm3_TGFBR2,Regulon(ZFY(+)),1.9384021877309472
2627,Tem_GNLY,Regulon(TBX21(+)),1.9354170470371403
6301,Trm3_TGFBR2,Regulon(ETV6(+)),1.8994744522088847
2361,Tem_GNLY,Regulon(CEBPB(+)),1.8857665864898299
1405,Tc17_CEBPD,Regulon(RARG(+)),1.878457539099029
6507,Trm3_TGFBR2,Regulon(SREBF2(+)),1.8713039789559849
6323,Trm3_TGFBR2,Regulon(GABPA(+)),1.7937527863570983
4588,Trm-Exh4_TOX2,Regulon(TGIF1(+)),1.7788153282491248
